Reference, Value, Footprint, Datasheet
S1,Sim808,hermas_mod:SIM808,
Y1,16Mhz,Crystals:Crystal_HC49-SD_SMD,
AE2,Ant_GPS,hermas_mod:SMA-13,
AE1,Ant_GSM,hermas_mod:SMA-13,
S2,SIM_CONN,hermas_mod:SIM_CONNECTOR,
U2,TJA1051T,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,
R16,120R,Resistors_SMD:R_1206,
MIC1,MIC29302,TO_SOT_Packages_SMD:TO-263-5Lead,
C9,100uF,Capacitors_SMD:c_elec_8x5.4,
C10,1uF,Capacitors_SMD:C_1206,
R11,43K,Resistors_SMD:R_1206,
R12,100K,Resistors_SMD:R_1206,
C13,330uF,Capacitors_SMD:c_elec_10x10,
C14,100nF,Capacitors_SMD:C_1206,
R13,470R,Resistors_SMD:R_1206,
Q3,BC237,TO_SOT_Packages_SMD:SOT-23,
R15,47K,Resistors_SMD:R_1206,
R14,4.7K,Resistors_SMD:R_1206,
C18,1uF,Capacitors_SMD:C_1206,
Y2,16Mhz,Crystals:Crystal_HC49-SD_SMD,
C12,22pF,Capacitors_SMD:C_1206,
C11,22pF,Capacitors_SMD:C_1206,
P5,CAN,Pin_Headers:Pin_Header_Straight_1x02,
P4,POWER_5V,Pin_Headers:Pin_Header_Straight_1x02,
C2,22pF,Capacitors_SMD:C_1206,
P2,UART0,Pin_Headers:Pin_Header_Straight_1x03,
C5,100nf,Capacitors_SMD:C_1206,
C4,100nf,Capacitors_SMD:C_1206,
C6,100nf,Capacitors_SMD:C_1206,
C8,100nf,Capacitors_SMD:C_1206,
IC1,ATMEGA_2560,Housings_QFP:LQFP-100_14x14mm_Pitch0.5mm,
C7,100nf,Capacitors_SMD:C_1206,
R1,10K,Resistors_SMD:R_1206,
P1,RST_MCU,Pin_Headers:Pin_Header_Straight_1x02,
P3,CONN_02X07,Pin_Headers:Pin_Header_Straight_2x07,
ESD1,ESDA6V1SC5,TO_SOT_Packages_SMD:SOT-23-5,
R4,4.7K,Resistors_SMD:R_1206,
R3,4.7K,Resistors_SMD:R_1206,
R2,47K,Resistors_SMD:R_1206,
R7,47K,Resistors_SMD:R_1206,
R5,4.7K,Resistors_SMD:R_1206,
R6,4.7K,Resistors_SMD:R_1206,
Q1,2SC4617TLR,TO_SOT_Packages_SMD:SOT-23,
Q2,2SC4617TLR,TO_SOT_Packages_SMD:SOT-23,
C17,100nf,Capacitors_SMD:C_1206,
C15,100nf,Capacitors_SMD:C_1206,
U1,MCP2515,Housings_SSOP:TSSOP-20_4.4x6.5mm_Pitch0.65mm,
C3,100nf,Capacitors_SMD:C_1206,
C16,4.7uf,Capacitors_SMD:c_elec_4x5.3,
D1,LED,LEDs:LED_1206,
R8,180R,Resistors_SMD:R_1206,
D2,LED,LEDs:LED_1206,
R9,180R,Resistors_SMD:R_1206,
D3,LED,LEDs:LED_1206,
R10,180R,Resistors_SMD:R_1206,
D4,LED,LEDs:LED_1206,
R17,180R,Resistors_SMD:R_1206,
C1,22pF,Capacitors_SMD:C_1206,
R18,10K,Resistors_SMD:R_1206,
P6,DEBUG,Pin_Headers:Pin_Header_Straight_1x02,
P7,R_CAN,Pin_Headers:Pin_Header_Straight_1x02,
R19,1M,Resistors_SMD:R_1206,
R23,22R,Resistors_SMD:R_1206,
C19,22pf,Capacitors_SMD:C_1206,
R24,22R,Resistors_SMD:R_1206,
P8,UART_MCU,Pin_Headers:Pin_Header_Straight_2x02,
Q5,2N3904,TO_SOT_Packages_SMD:SOT-23,
R26,4.7k,Resistors_SMD:R_1206,
R28,10K,Resistors_SMD:R_1206,
R27,47K,Resistors_SMD:R_1206,
P14,STAT_IN,Pin_Headers:Pin_Header_Straight_1x02,
P15,STAT_OUT,Pin_Headers:Pin_Header_Straight_1x02,
P12,PWR_OUT,Pin_Headers:Pin_Header_Straight_1x02,
P11,PWR_IN,Pin_Headers:Pin_Header_Straight_1x02,
Q4,2N3904,TO_SOT_Packages_SMD:SOT-23,
R21,47K,Resistors_SMD:R_1206,
R20,4.7K,Resistors_SMD:R_1206,
P10,RST_OUT,Pin_Headers:Pin_Header_Straight_1x02,
P9,RST_IN,Pin_Headers:Pin_Header_Straight_1x02,
P13,UART_SIM,Pin_Headers:Pin_Header_Straight_2x02,
R22,10K,Resistors_SMD:R_1206,
P16,CAN_UART,Pin_Headers:Pin_Header_Straight_2x02,
R25,22R,Resistors_SMD:R_1206,
